set,point_id,easting,northing,point_type,ept_block,status,n_points,n_ground,cover_r2.5,pai_r2.5,ncell_r2.5,cover_r5,pai_r5,ncell_r5,cover_r7.5,pai_r7.5,ncell_r7.5,cover_r10,pai_r10,ncell_r10,cover_r15,pai_r15,ncell_r15,cover_r25,pai_r25,ncell_r25,cover_ladder_spread,gps_utc_min,gps_utc_max,gps_span_days,box_laz,struct_npz,struct_status,n_struct_all,n_struct_class2,surface_check_mm,slope_deg
gen1_2008_control,FSA Target 1 Dodge-9401-Dodge VRS,502750.225,4888909.857,other,MN_SEDriftless_1_2021,ok,113869,78639,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.0,0.0,29,0.000392,0.000797,81,0.000392,2021-04-22 17:51,2021-04-22 17:51,0.0,data/derived/control_boxes/gen1_2008_control__FSA_Target_1_Dodge-9401-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_1_Dodge-9401-Dodge_VRS.npz,ok,1868,1285,0.0,1.9604
gen1_2008_control,FSA Target 2 Dodge-9402-Dodge VRS,520077.399,4886831.04,other,MN_SEDriftless_1_2021,ok,103084,91790,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.000755,0.001527,29,0.000755,0.001522,81,0.000755,2021-05-26 22:41,2021-05-26 22:42,0.0,data/derived/control_boxes/gen1_2008_control__FSA_Target_2_Dodge-9402-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_2_Dodge-9402-Dodge_VRS.npz,ok,1664,1452,0.0,0.1707
gen1_2008_control,FSA Target 3 Dodge-9403-Dodge VRS,501151.301,4874418.338,other,MN_SEDriftless_1_2021,ok,206717,110220,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.000666,0.00134,29,0.001625,0.003299,81,0.001625,2021-06-05 20:47,2021-06-10 12:52,4.67,data/derived/control_boxes/gen1_2008_control__FSA_Target_3_Dodge-9403-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_3_Dodge-9403-Dodge_VRS.npz,ok,3271,2044,0.0,0.3916
gen1_2008_control,FSA Target 4 Dodge-9404-Dodge VRS,524195.985,4872755.311,other,MN_SEDriftless_1_2021,ok,114769,74136,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,6.7e-05,0.000135,29,0.000256,0.000515,81,0.000256,2021-06-05 20:57,2021-06-05 20:57,0.0,data/derived/control_boxes/gen1_2008_control__FSA_Target_4_Dodge-9404-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_4_Dodge-9404-Dodge_VRS.npz,ok,1789,1266,0.0,1.0944
gen1_2008_control,FSA Target 5 Dodge-9405-Dodge VRS,501184.14,4861497.597,other,MN_SEDriftless_1_2021,ok,93238,67168,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.0,0.0,29,0.000142,0.000286,81,0.000142,2021-05-08 16:33,2021-05-08 16:34,0.0,data/derived/control_boxes/gen1_2008_control__FSA_Target_5_Dodge-9405-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_5_Dodge-9405-Dodge_VRS.npz,ok,1493,1041,0.0,0.1429
gen1_2008_control,FSA Target 6 Dodge-9406-Dodge VRS,517768.61,4863143.805,other,MN_SEDriftless_1_2021,ok,185046,129234,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.000449,0.000904,29,0.00025,0.000503,81,0.000449,2021-05-08 16:04,2021-05-08 16:12,0.005,data/derived/control_boxes/gen1_2008_control__FSA_Target_6_Dodge-9406-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_6_Dodge-9406-Dodge_VRS.npz,ok,2980,2112,0.0,1.1138
gen1_2008_control,FSA Target 601 Dodge-9601-Dodge VRS,512967.088,4874822.666,other,MN_SEDriftless_1_2021,ok,100772,60222,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.000844,0.001698,13,0.000827,0.001662,29,0.008736,0.019315,81,0.008736,2021-06-10 12:54,2021-06-10 12:54,0.0,data/derived/control_boxes/gen1_2008_control__FSA_Target_601_Dodge-9601-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__FSA_Target_601_Dodge-9601-Dodge_VRS.npz,ok,1582,1209,0.0,1.5585
gen1_2008_control,L10-1094-Olmsted VRS,527478.797,4861543.279,L1O,MN_SEDriftless_4_2021,ok,383412,155282,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.0,0.0,29,0.007388,0.015551,81,0.007388,2022-05-06 18:39,2022-05-06 19:06,0.019,data/derived/control_boxes/gen1_2008_control__L10-1094-Olmsted_VRS.laz,data/derived/control_structure/gen1_2008_control__L10-1094-Olmsted_VRS.npz,ok,5388,2202,0.0,2.4999
gen1_2008_control,L1O-4119-Steele RTK,495579.716,4863318.542,L1O,MN_SEDriftless_1_2021,ok,141322,114085,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.0,0.0,29,0.0,0.0,81,0.0,2021-05-08 16:00,2021-05-08 16:16,0.012,data/derived/control_boxes/gen1_2008_control__L1O-4119-Steele_RTK.laz,data/derived/control_structure/gen1_2008_control__L1O-4119-Steele_RTK.npz,ok,2529,1904,0.0,0.8861
gen1_2008_control,L1O-9004-Dodge VRS,520870.793,4889398.992,L1O,MN_SEDriftless_1_2021,ok,148550,115114,0.0,0.0,1,0.0,0.0,5,0.0,0.0,9,0.0,0.0,13,0.0,0.0,29,0.0,0.0,81,0.0,2021-04-22 17:41,2021-04-22 17:47,0.004,data/derived/control_boxes/gen1_2008_control__L1O-9004-Dodge_VRS.laz,data/derived/control_structure/gen1_2008_control__L1O-9004-Dodge_VRS.npz,ok,2054,1705,0.0,2.8113
