point_id,ngv,n_disc,radius,n_below_m1,n_above_45
1002_2021_MN,0.012553073657005722,5417,7.5,0,0
1003_2021_MN,0.0,5960,7.5,0,0
1004_2021_MN,0.011111111111111112,5490,7.5,0,0
1005_2021_MN,0.008202443280977313,5730,7.5,0,0
1006_2021_MN,0.00018057060310581438,5538,7.5,0,0
1007_2021_MN,0.006515389800044934,4451,7.5,0,0
1008_2021_MN,0.05725257462035259,5729,7.5,0,0
1009_2021_MN,0.0030249960197420793,6281,7.5,0,0
1010_2021_MN,0.0,6420,7.5,0,0
1011_2021_MN,0.0,5581,7.5,0,0
1012_2021_MN,0.0014615134784020786,6158,7.5,0,0
1013_2021_MN,0.0,6023,7.5,0,0
1014_2021_MN,0.0019856422789063695,6547,7.5,0,0
1015_2021_MN,0.0,6192,7.5,0,0
1019_2021_MN,0.21171032357473035,3245,7.5,0,0
1020_2022_MN,0.12737430167597766,5370,7.5,0,0
1021_2022_MN,0.18766355140186916,5350,7.5,0,0
1022_2022_MN,0.0028169014084507044,5325,7.5,0,0
1023_2022_MN,0.05952380952380952,5376,7.5,0,0
1024_2022_MN,0.07229364635736911,5367,7.5,0,0
1025_2022_MN,0.030950249392505437,7819,7.5,0,0
1026_2022_MN,0.03104754919936438,8181,7.5,0,0
1027_2022_MN,0.012209080503624571,5242,7.5,0,0
1028_2022_MN,0.015949554896142432,5392,7.5,0,0
1029_2022_MN,0.02660633484162896,5525,7.5,0,0
1030_2022_MN,0.06532663316582915,7960,7.5,0,0
1031_2022_MN,0.001017682228724081,7861,7.5,0,0
1032_2022_MN,0.0023726957473991605,5479,7.5,0,0
1033_2022_MN,0.028555534952716486,5393,7.5,0,0
1034_2022_MN,0.17469310670443816,8472,7.5,6,0
1035_2022_MN,0.04399441340782123,8592,7.5,0,0
1036_2022_MN,0.009488005728607233,5586,7.5,0,0
1037_2022_MN,0.003166325200223505,5369,7.5,0,0
1038_2022_MN,0.004493065051767923,5119,7.5,0,0
1039_2022_MN,0.03867947770386795,8118,7.5,0,0
1040_2022_MN,0.003017394391196308,5634,7.5,0,0
1041_2021_MN,0.005326231691078562,1502,7.5,0,0
1042_2021_MN,0.015725518227305217,1399,7.5,0,0
1044_2021_MN,0.02695595003287311,1521,7.5,0,0
1045_2021_MN,0.013726835964310227,1457,7.5,0,0
1046_2021_MN,0.0,1521,7.5,0,0
1047_2021_MN,0.08652482269503546,1410,7.5,0,0
1048_2021_MN,0.06254248810333107,1471,7.5,0,0
1049_2021_MN,0.032564450474898234,1474,7.5,0,0
1050_2021_MN,0.01588271227855834,1637,7.5,0,0
1051_2021_MN,0.0,1583,7.5,0,0
1052_2021_MN,0.007994670219853431,1501,7.5,0,0
1053_2021_MN,0.00333555703802535,1499,7.5,0,0
1054_2021_MN,0.047619047619047616,1638,7.5,0,0
1055_2021_MN,0.07349081364829396,1524,7.5,0,0
1056_2021_MN,0.025139664804469275,1432,7.5,0,0
1057_2021_MN,0.0,1424,7.5,0,0
1058_2021_MN,0.09725016767270288,1491,7.5,0,0
1059_2021_MN,0.055517941773865945,1477,7.5,0,0
1061_2021_MN,0.06438068579426172,1429,7.5,0,0
1062_2021_MN,0.032021347565043365,1499,7.5,0,0
1063_2021_MN,0.002663115845539281,1502,7.5,0,0
1064_2021_MN,0.0031466331025802393,1589,7.5,0,0
1065_2021_MN,0.002362669816893089,1693,7.5,0,0
1066_2021_MN,0.0,1737,7.5,0,0
1067_2021_MN,0.05184033177812338,1929,7.5,0,0
1068_2021_MN,0.08751696065128901,1474,7.5,0,0
1069_2021_MN,0.0651872399445215,1442,7.5,0,0
1072_2021_MN,0.008531383302864107,1641,7.5,0,0
1073_2021_MN,0.08536585365853659,1640,7.5,0,0
1074_2021_MN,0.08947108255066732,2023,7.5,0,0
1075_2021_MN,0.010075566750629723,1588,7.5,0,0
1076_2021_MN,0.058240396530359353,1614,7.5,0,0
1077_2021_MN,0.1975736568457539,1731,7.5,0,0
1078_2021_MN,0.0,3056,7.5,0,0
1079_2021_MN,0.0066707095209217705,1649,7.5,0,0
1080_2021_MN,0.00801068090787717,1498,7.5,0,0
1081_2021_MN,0.0,1637,7.5,0,0
1082_2021_MN,0.2083086053412463,1685,7.5,0,0
1083_2021_MN,0.07528957528957529,1554,7.5,0,0
1084_2022_MN,0.041781704399042885,5433,7.5,0,0
1085_2021_MN,0.007441327990841442,1747,7.5,0,0
1086_2021_MN,0.0,1513,7.5,0,0
1087_2021_MN,0.0,1612,7.5,0,0
1088_2022_MN,0.0,4204,7.5,0,0
1089_2022_MN,0.011180124223602485,1610,7.5,0,0
1090_2022_MN,0.0,1845,7.5,0,0
1091_2022_MN,0.008141112618724558,1474,7.5,1,0
1092_2022_MN,0.00047393364928909954,2110,7.5,0,0
