point_id,point_type,easting,northing,elevation,elevation_units,horizontal_crs,vertical_datum,geoid_model,project_id,collected,source,verified,county,dnr_surface_z_m,dnr_error_m
FSA Target 1 Dodge-9401-Dodge VRS,other,502750.225,4888909.857,372.97,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,372.872,0.098
FSA Target 2 Dodge-9402-Dodge VRS,other,520077.399,4886831.04,380.763,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,380.626,0.137
FSA Target 3 Dodge-9403-Dodge VRS,other,501151.301,4874418.338,389.377,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,389.344,0.033
FSA Target 4 Dodge-9404-Dodge VRS,other,524195.985,4872755.311,383.714,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,383.623,0.091
FSA Target 5 Dodge-9405-Dodge VRS,other,501184.14,4861497.597,390.794,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,390.785,0.009
FSA Target 6 Dodge-9406-Dodge VRS,other,517768.61,4863143.805,391.192,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,391.199,-0.007
FSA Target 601 Dodge-9601-Dodge VRS,other,512967.088,4874822.666,396.386,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,396.318,0.068
L10-1094-Olmsted VRS,L1O,527478.797,4861543.279,381.21,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,381.201,0.009
L1O-4119-Steele RTK,L1O,495579.716,4863318.542,391.77,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,391.435,0.335
L1O-9004-Dodge VRS,L1O,520870.793,4889398.992,357.802,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,357.747,0.055
L1O-9009-Dodge VRS,L1O,518195.079,4879585.027,370.88,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,370.688,0.192
L1O-9010-Dodge VRS,L1O,518986.234,4879982.347,361.676,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,361.6,0.076
L1O-9012-Dodge VRS,L1O,514449.491,4888055.248,363.637,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,363.675,-0.038
L1O-9018-Dodge VRS,L1O,525318.532,4888769.201,333.028,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,332.864,0.164
L1O-9031-Dodge VRS,L1O,504393.297,4887310.032,387.557,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,387.418,0.139
L1O-9034-Dodge VRS,L1O,503544.521,4885670.629,382.216,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,382.104,0.112
L1O-9039-Dodge VRS,L1O,508552.599,4881642.849,381.272,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,381.222,0.05
L1O-9043-Dodge VRS,L1O,505260.691,4881637.969,380.964,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,380.876,0.088
L1O-9046-Dodge VRS,L1O,498303.115,4881639.213,377.731,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,377.641,0.09
L1O-9050-Dodge VRS,L1O,506431.464,4879258.731,384.927,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,384.803,0.124
L1O-9055-Dodge VRS,L1O,499532.883,4872017.654,389.297,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,389.21,0.087
L1O-9058-Dodge VRS,L1O,502793.403,4869129.363,392.933,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,392.796,0.137
L1O-9063-Dodge VRS,L1O,508286.09,4866339.107,402.434,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,402.325,0.109
L1O-9073-Dodge VRS,L1O,519376.852,4869355.424,390.156,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,390.098,0.058
L1O-9080-Dodge VRS,L1O,524231.864,4858793.197,370.516,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,370.442,0.074
L1O-9081-Dodge VRS,L1O,524251.669,4856695.783,390.073,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,389.994,0.079
L1O-9083-Dodge VRS,L1O,516152.986,4857033.357,413.745,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,413.691,0.054
L1O-9088-Dodge VRS,L1O,510234.854,4858324.061,392.534,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,392.819,-0.285
L1O-9092-Dodge VRS,L1O,501433.888,4858242.219,383.165,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,383.122,0.043
L1O-9094-Dodge VRS,L1O,496193.143,4857485.573,393.041,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,392.925,0.116
L1O-9097-Dodge VRS,L1O,504390.174,4864380.861,394.91,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,394.769,0.141
L1O-9098-Dodge VRS,L1O,498915.348,4863123.221,387.348,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,387.288,0.06
L1O-9103-Dodge VRS,L1O,516821.965,4856713.622,409.864,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,409.808,0.056
L1O-9104-Dodge VRS,L1O,519397.671,4858437.198,398.597,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,398.354,0.243
L1O-9105-Dodge VRS,L1O,519396.267,4860731.982,385.506,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,385.387,0.119
L1O-9106-Dodge VRS,L1O,515184.376,4861542.398,410.399,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,410.447,-0.048
L1O-9107-Dodge VRS,L1O,512920.99,4864411.157,412.469,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,412.392,0.077
L1O-9108-Dodge VRS,L1O,512898.518,4866374.13,394.199,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,394.232,-0.033
L1O-9109-Dodge VRS,L1O,512907.014,4869593.509,399.654,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,399.631,0.023
L1O-9110-Dodge VRS,L1O,513110.694,4874899.079,395.412,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,395.254,0.158
L2T-1010-Olmsted VRS,L2T,526020.663,4883113.844,377.776,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,377.686,0.09
L2T-4118-Steele RTK,L2T,495510.982,4860379.361,393.835,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,393.908,-0.073
L2T-4140-Steele RTK,L2T,495544.976,4858284.827,393.665,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,393.543,0.122
L2T-9003-Dodge VRS,L2T,520805.384,4891890.517,363.215,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,363.213,0.002
L2T-9013-Dodge VRS,L2T,514439.297,4891298.452,366.072,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,366.266,-0.194
L2T-9019-Dodge VRS,L2T,525309.997,4888750.863,331.318,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,331.36,-0.042
L2T-9022-Dodge VRS,L2T,520582.622,4879373.481,361.621,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,361.523,0.098
L2T-9024-Dodge VRS,L2T,524586.896,4879189.865,366.6,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,366.634,-0.034
L2T-9025-Dodge VRS,L2T,524219.542,4875043.143,384.122,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,384.195,-0.073
L2T-9027-Dodge VRS,L2T,502736.129,4890370.617,364.39,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,364.656,-0.266
L2T-9045-Dodge VRS,L2T,499917.767,4881647.526,375.099,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,375.008,0.091
L2T-9047-Dodge VRS,L2T,500651.146,4879266.332,388.033,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,388.013,0.02
L2T-9048-Dodge VRS,L2T,501137.612,4879267.649,384.345,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,384.464,-0.119
L2T-9051-Dodge VRS,L2T,510484.196,4879092.656,370.66,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,371.017,-0.357
L2T-9052-Dodge VRS,L2T,508582.078,4877609.188,388.635,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,388.531,0.104
L2T-9059-Dodge VRS,L2T,502769.13,4867985.916,394.939,m,EPSG:26915,NAVD88,GEOID03,lidar_semn2008,2008,dodge_val.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_semn2008.html: 'Vertical datum: NAVD88 (Geoid03)'); the validation reports themselves state no datum and no geoid,dodge,395.073,-0.134
