point_id,point_type,easting,northing,elevation,elevation_units,horizontal_crs,vertical_datum,geoid_model,project_id,collected,source,verified,county,dnr_surface_z_m,dnr_error_m
L10-2039,L1O,660034.746,5289129.899,492.351,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,492.499,-0.148
L10-7002,L1O,697198.161,5300222.468,508.856,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,509.116,-0.26
L1O-2001,L1O,660643.882,5274388.343,361.802,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,361.876,-0.074
L1O-2002,L1O,682882.198,5299146.357,493.808,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,493.82,-0.012
L1O-2003,L1O,651135.642,5297398.498,548.181,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,548.223,-0.042
L1O-2004,L1O,665603.575,5293372.69,520.395,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,520.458,-0.063
L1O-2005,L1O,685251.809,5286537.016,189.871,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,189.886,-0.015
L1O-2006,L1O,651636.313,5286697.848,537.95,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,538.022,-0.072
L1O-2007,L1O,660477.596,5286992.226,502.282,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,502.337,-0.055
L1O-2008,L1O,672198.705,5290252.477,491.08,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,491.048,0.032
L1O-2009,L1O,672947.008,5294018.14,507.652,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,507.735,-0.083
L1O-2010,L1O,672185.421,5278764.11,221.857,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,221.834,0.023
L1O-2011,L1O,652676.259,5277888.897,479.804,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,479.873,-0.069
L1O-2012,L1O,663320.059,5301392.934,532.676,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,532.682,-0.006
L1O-2013,L1O,660000.867,5277515.782,381.541,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,381.592,-0.051
L1O-2014,L1O,680460.034,5294812.107,529.765,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,529.807,-0.042
L1O-2015,L1O,653311.706,5296384.68,552.804,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,552.85,-0.046
L1O-2016,L1O,668203.085,5293095.658,520.364,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,520.509,-0.145
L1O-2017,L1O,677482.149,5303586.241,560.146,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,560.231,-0.085
L1O-2018,L1O,651833.853,5284153.807,506.553,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,506.912,-0.359
L1O-2019,L1O,658349.195,5289152.28,503.057,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,503.228,-0.171
L1O-2021,L1O,672970.968,5299620.913,548.122,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,548.19,-0.068
L1O-2024,L1O,666763.079,5300645.242,542.494,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,542.584,-0.09
L1O-2026,L1O,682909.259,5293163.059,481.921,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,481.955,-0.034
L1O-2027,L1O,655432.234,5296438.695,543.071,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,543.206,-0.135
L1O-2028,L1O,669059.8,5296969.209,546.903,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,546.932,-0.029
L1O-2030,L1O,652828.759,5285221.826,508.923,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,508.961,-0.038
L1O-2031,L1O,659420.869,5295117.612,501.443,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,501.572,-0.129
L1O-2032,L1O,673426.278,5286950.756,438.993,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,439.057,-0.064
L1O-2033,L1O,653683.888,5275740.912,470.993,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,471.093,-0.1
L1O-2035,L1O,658952.982,5270843.719,301.346,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,301.382,-0.036
L1O-2037,L1O,682694.028,5303869.931,523.809,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,523.901,-0.092
L1O-2041,L1O,680072.521,5303693.303,555.213,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,555.358,-0.145
L1O-2044,L1O,661476.961,5279848.92,407.526,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,407.702,-0.176
L1O-2045,L1O,661232.849,5300098.067,524.249,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,524.182,0.067
L1O-2046,L1O,665636.064,5287610.85,521.649,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,521.801,-0.152
L1O-2047,L1O,673438.197,5303019.862,553.99,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,553.845,0.145
L1O-2048,L1O,662671.394,5287629.763,553.324,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,553.48,-0.156
L1O-2049,L1O,670541.398,5301884.514,548.356,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,548.304,0.052
L1O-2050,L1O,672086.01,5300720.544,568.825,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,568.809,0.016
L1O-2051,L1O,676491.221,5303249.322,554.345,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,554.302,0.043
L1O-2052,L1O,675223.314,5304731.479,557.755,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,557.721,0.034
L1O-2054,L1O,673441.216,5303015.092,554.509,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,554.5,0.009
L1O-2055,L1O,667789.706,5294578.757,533.299,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,533.346,-0.047
L1O-2056,L1O,659259.352,5268512.818,204.071,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,204.045,0.026
L1O-2058,L1O,671995.053,5278578.881,218.25,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,218.314,-0.064
L1O-4001,L1O,747142.472,5316699.474,184.279,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,184.276,0.003
L1O-4003,L1O,740322.517,5315466.067,396.93,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,396.879,0.051
L1O-4007,L1O,721099.055,5320421.273,477.938,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,478.136,-0.198
L1O-4008,L1O,732163.941,5315070.546,471.171,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,471.091,0.08
L1O-4010,L1O,722817.745,5319352.471,494.073,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,494.009,0.064
L1O-4015,L1O,710412.083,5316279.341,558.26,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,558.35,-0.09
L1O-4020,L1O,706710.143,5294902.011,188.802,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,188.766,0.036
L1O-4027,L1O,749102.458,5320026.469,345.39,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,345.407,-0.017
L1O-4030,L1O,701722.624,5293017.976,199.92,m,EPSG:26915,NAVD88,GEOID09,lidar_arrowhead2011,2011,arrowhead_block3.pdf table 'Control Z',datum is a DATASET-level assertion (lidar_arrowhead2011.html: 'The geoid used to reduce satellite derived elevations to orthometric heights was Geoid09.'); the validation reports themselves state no datum and no geoid,arrowhead_block3,199.906,0.014
