point_id,point_type,role,easting,northing,elevation,elevation_units,horizontal_crs,vertical_datum,geoid_model,project_id,collected,source,verified,va_blocks,usgs_ql1_dem_z_m,usgs_ql1_dem_error_m,usgs_ql1_laz_z_m,usgs_ql1_laz_error_m,usgs_ql0_dem_z_m,usgs_ql0_dem_error_m,usgs_ql0_laz_z_m,usgs_ql0_laz_error_m
1001_2021_MN,LCP,calibration,439009.326,4935101.44,300.023,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1002_2021_MN,LCP,calibration,438979.893,4932805.245,305.461,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1003_2021_MN,LCP,calibration,438955.728,4930167.506,301.461,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1004_2021_MN,LCP,calibration,436507.644,4927638.472,292.445,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1005_2021_MN,LCP,calibration,436471.028,4925038.446,300.17,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1006_2021_MN,LCP,calibration,436471.231,4922406.552,301.786,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1007_2021_MN,LCP,calibration,433999.785,4919899.737,298.79,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1008_2021_MN,LCP,calibration,433963.582,4917304.495,307.826,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1009_2021_MN,LCP,calibration,433957.994,4914717.976,300.888,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
1010_2021_MN,LCP,calibration,433953.507,4912170.414,309.721,m,EPSG:6344,NAVD88,GEOID18,MN_SE_Driftless_2021_B21,,Ground_Control_Survey_Report.pdf sections 2.2/2.3/2.4,"geoid from the survey report's per-table header 'Geoid Model: Geoid18' (sections 1.8.4, 2.2); this mark is in no shapefile",,,,,,,,,
